transaction_id,customer_id,amount,transaction_type,transaction_date
bf4cddcb-3181-4e1b-ba92-254a934fd3c4,CUST1000,1380.94,POS,2024-09-21
a37ed803-7e22-47af-869d-dec0100fca3b,CUST1000,716.97,Bill Payment,2024-07-30
2ba73ee0-5505-4b5a-a9d0-9cd6a309900d,CUST1000,834.35,Airtime,2024-05-30
84836691-dc41-4805-938d-a3bb2c6c0359,CUST1000,922.8,Bill Payment,2024-10-19
b671d1bd-600b-4724-b976-ab05e80b5759,CUST1000,1831.24,Bill Payment,2025-10-31
14eed44a-f952-40ad-afb3-62dc7567866d,CUST1000,215.56,Transfer,2024-05-06
e0b2aac0-cdb3-4ed5-8e5e-e144da46f087,CUST1000,1583.03,POS,2024-08-16
852c9406-852a-46a6-9178-f667d9295eea,CUST1000,862.64,POS,2025-08-16
e91a00c6-93c5-4055-b62d-3cf3cd0594df,CUST1000,1360.23,Transfer,2024-07-03
34eb370f-2921-4d7c-8a3f-3e5d0fa9acb4,CUST1000,479.87,POS,2024-08-23
fed23ac6-7a18-4f91-95ee-d14ff44e6a95,CUST1000,884.27,Transfer,2024-11-02
01a1bb3d-20da-47b1-b35d-307e983d1f23,CUST1000,1828.36,Bill Payment,2024-12-19
62995c5e-d191-4e79-971f-543a15572f6a,CUST1000,1521.62,Bill Payment,2024-10-18
dab9ba40-97f0-4865-9cbd-82ba4a20458b,CUST1000,187.1,POS,2025-09-08
f4c5e29e-7447-4db1-bab4-f03a3a2db66b,CUST1000,169.52,Transfer,2025-05-01
35fd07ee-0863-44e5-a869-d4434faba280,CUST1000,1473.03,Bill Payment,2024-10-04
ca3f4e9b-1c63-4dca-9084-4dd98a45daa8,CUST1000,1927.4,Airtime,2025-03-18
6d0d3d63-bcd4-4ec3-a65b-2ce8afc9a1ac,CUST1000,1654.41,Bill Payment,2025-11-08
f1e8425b-c2ca-44cd-a5aa-775ce0341895,CUST1000,530.95,Bill Payment,2024-03-12
bd338f00-1416-431e-b896-e29b71cc1c2b,CUST1000,896.91,Bill Payment,2025-07-04
3a67a24e-a980-4abb-bd7d-b94efb3ef70a,CUST1000,597.74,Airtime,2025-05-10
4a42d75d-5bb5-4319-9843-35d81a2f9e73,CUST1000,728.88,Bill Payment,2025-10-12
ee52ae35-fe2e-410e-84f1-6c0a4c3d3ee2,CUST1000,559.66,Transfer,2024-04-10
223fe44a-f78b-4566-84be-8607e893baec,CUST1000,27.28,Airtime,2024-01-21
51460c3f-3208-42c2-aec6-aaa29b06e112,CUST1000,1631.04,Bill Payment,2024-08-01
287e1f0f-b3b2-4b75-af6b-f1214afee481,CUST1000,1094.39,Bill Payment,2024-09-29
98e05252-166a-4a2b-b1c0-1300871fe952,CUST1000,948.61,POS,2025-09-06
31d9d5c1-ef7d-4c67-993a-22f141e5f47f,CUST1000,1198.35,Airtime,2024-12-11
4d5bc1fa-4850-46ba-9058-7bd87a4fdc52,CUST1000,1143.23,Airtime,2024-02-15
a80b4a90-c9a7-4a65-853d-ca93308e782f,CUST1000,516.51,Bill Payment,2024-06-30
4e51ca8c-3801-4f22-bc54-e6907e3eb723,CUST1000,471.29,Bill Payment,2024-04-22
e8a47f7c-e632-48b9-a1b2-38a5a73186eb,CUST1000,104.36,Airtime,2025-10-22
7ecd8a23-1f39-40d0-bdcf-399676f2a130,CUST1000,996.14,Transfer,2025-10-16
d675a776-af22-44c8-a417-906237a72826,CUST1000,69.98,Airtime,2025-06-20
9d5640df-d8fd-48e3-a848-3d7dcbb15284,CUST1000,1180.64,Bill Payment,2024-01-23
7f9ef068-54f0-47ba-aa2d-cf3ab6797ba3,CUST1000,911.91,Transfer,2025-06-25
7f99cbb2-a65f-47f6-b79a-1f383c698492,CUST1000,417.83,Bill Payment,2025-03-16
00edf5eb-a4bb-47e7-86b5-b8e94adba8a7,CUST1000,1807.51,POS,2024-07-26
e4af54c0-3c0b-4ba4-80ce-d661d84aab54,CUST1000,6.8,Bill Payment,2025-09-09
6a21b5b4-26d6-4db4-ba2e-c779b96cf3e7,CUST1000,260.71,POS,2025-08-11
d4fb87f5-55b9-4bed-8022-255ef729d7e6,CUST1000,1926.14,Transfer,2024-03-04
b1da8a25-59eb-4721-b3ae-b28ed04f26d3,CUST1000,184.64,POS,2025-11-10
6590ef7a-82d4-410e-bd6a-e71abfde34fb,CUST1000,1126.84,POS,2025-10-23
ec62c0fe-bde9-476d-bc43-a58305e6deb9,CUST1000,971.57,Airtime,2024-04-22
757a5416-7c4b-42b7-a6a1-1bee717b2c86,CUST1000,332.29,POS,2025-09-14
68e417e8-9ab5-411e-affc-3350ac187973,CUST1000,330.16,Bill Payment,2025-09-20
ce289aaa-7094-4755-bfb9-cf823a7e0751,CUST1000,1755.21,POS,2024-02-28
3357bdc9-a751-43f2-a098-a5b887817a78,CUST1001,471.25,POS,2023-12-30
b996320d-7f1e-4df0-b39e-1585295cf665,CUST1001,1619.03,Airtime,2025-06-20
53029a06-61c0-4e69-9f0d-d8a6b4dc30b0,CUST1001,497.07,Bill Payment,2025-02-02
88c77cef-4cf4-4bbe-ab11-ae718d89e61a,CUST1001,1875.01,Bill Payment,2024-08-28
f4622de6-3787-41b3-9b48-169bc2f1d552,CUST1001,101.54,Airtime,2024-12-18
e2bdbb70-ce77-45e3-bf87-51e37915ef34,CUST1001,1030.5,POS,2023-12-28
eca4de39-b578-4835-be62-c86206bfda80,CUST1001,1424.97,Airtime,2025-11-13
9038c43c-d820-4c88-a78a-c9e970c4de25,CUST1001,245.95,Transfer,2024-08-11
9981732e-a596-4472-bf61-dcb17a5bc752,CUST1001,1421.74,Transfer,2024-11-26
69ea0d12-0090-4a1c-998f-2613273bf1f0,CUST1001,775.81,Airtime,2024-05-12
8d6a0b25-d20b-4da6-9211-a63050f71231,CUST1001,836.93,Airtime,2025-08-22
f3a29e4a-5264-4c0e-8d9d-01843d6a0548,CUST1001,1791.77,Transfer,2025-01-24
f309a0a8-9756-46ac-866c-44ecbd165a97,CUST1001,886.55,Airtime,2025-04-18
b0175f6f-0fac-4c7a-beed-f774a0c97710,CUST1001,113.01,Transfer,2025-08-05
d6fc42d2-0666-493c-a648-47a9451c0d0c,CUST1002,1751.25,Airtime,2024-12-31
8cf10377-08e1-44d8-8978-0619d7b4cbc2,CUST1002,1163.93,Bill Payment,2025-11-22
